trench,profile,lon_x,lat_x,z_a,W,theta_l,theta_s,A,S,h_f,d_f,lon_y,lat_y,age_Ma,sed_m
philippine,94,127.344267042,6.82419968368,-9618.28144875,74.0042975093,4.568078836553917,5.668974088958349,-0.10754025210330176,172.43195598422523,714.5350340200002,68.0039772227,127.344267042,6.82419968368,73.8865838957,764.409361541
philippine,95,127.347037284,6.73024921284,-9486.89028455,78.00251155480001,3.7411313551663827,5.972597485164321,-0.229722917602255,189.14481339360668,685.2583300600008,66.0021982005,127.347037284,6.73024921284,73.3792986169,770.587534823
philippine,96,127.359602759,6.6366329068,-9416.81989475,68.002715113,3.831552663582448,7.465173837111921,-0.3216525754877865,170.61925124731005,-770.6467650749992,35.0014187892,127.359602759,6.6366329068,72.7359701103,764.211045488
philippine,97,127.359602759,6.54276600388,-9487.60251805,64.0036748112,4.123959515885653,7.323973331568473,-0.27952765432184223,157.3432621069441,-518.1132186149998,32.0018400061,127.359602759,6.54276600388,72.0265229622,763.621814983
philippine,98,127.361357037,6.46615587359,-9461.67119508,60.0030399463,4.755455826673468,6.64303782695343,-0.16559925000961426,146.84962662715688,-412.6121144050003,39.00198684843,127.361357037,6.46615587359,71.5421731525,760.14226372
philippine,99,127.364777689,6.40155222302,-9496.22807431,56.0025524264,5.414740021841592,6.703578789677238,-0.10635458497845143,136.70745479106387,-222.7329582100001,35.0016057692,127.364777689,6.40155222302,71.2260262587,754.349418429
philippine,100,127.368774407,6.31023082432,-9414.16854951,52.9993801292,5.874002832440315,6.573034696876144,-0.056160501066169544,129.67615961114123,-48.160562570000366,44.9995139937,127.368774407,6.31023082432,70.9052054696,743.674350288
philippine,101,127.386172783,6.22843886289,-9238.66242002,55.000380348,5.296441625419836,5.9034694620227475,-0.05419934425046602,129.62190725005595,-188.49597985500077,49.0003779554,127.386172783,6.22843886289,70.7949694099,723.850419879
philippine,102,127.386405674,6.13870569792,-9527.20362696,54.9805825574,6.723736691022858,6.485670696588034,0.018022458347231096,141.51234820603474,-388.30771022999943,50.9821101572,127.386405674,6.13870569792,70.6863717562,716.463795358
philippine,103,127.437404631,6.06802799864,-9192.93816386,53.9216736625,5.18966773475395,6.477119802484111,-0.11035189109434543,124.66227083549805,-222.70833287999994,45.9334840427,127.437404631,6.06802799864,70.7231632519,675.395197528
philippine,104,127.488390279,5.99734560327,-8809.34047361,48.9757147751,4.499369877893833,7.082592828179076,-0.2230384448510399,108.85729910724325,-78.32959628249955,48.975865547,127.488390279,5.99734560327,70.8242389164,636.4453179
philippine,105,127.498654587,5.90555037652,-8713.85505764,44.97345875560001,5.4648941944348595,6.239800540443647,-0.06620474634846006,99.32649806965165,-33.788686609999786,46.9724077606,127.498654587,5.90555037652,70.6804545614,623.124853872
philippine,106,127.561324578,5.82063149279,-8478.71206713,39.9730457442,5.045241823507657,6.158552364946423,-0.09936906397174569,86.95647181184185,975.0463503475003,95.9358662084,127.561324578,5.82063149279,70.6516535712,581.414342574
